Date,Open,High,Low,Close,Adj Close,Volume
2013-06-17,205.255005,207.500000,196.630005,198.910004,187.616150,109415810
2013-06-24,198.304993,198.710007,189.210007,195.380005,184.286575,108701700
2013-07-01,196.300003,202.899994,187.259995,189.445007,178.688553,102788880
2013-07-08,187.899994,192.800003,185.009995,189.339996,178.589508,88160800
2013-07-15,189.169998,191.714996,179.009995,181.130005,170.845688,112305860
2013-07-22,180.699997,186.975006,175.169998,176.524994,166.502136,106262370
2013-07-29,176.725006,177.399994,166.500000,168.059998,158.517746,123737790
2013-08-05,168.800003,172.899994,163.304993,166.414993,156.966171,95748950
2013-08-12,166.414993,166.970001,155.300003,157.059998,148.142334,150242240
2013-08-19,156.800003,165.089996,148.860001,155.910004,147.057632,146262130
2013-08-26,157.110001,158.485001,145.270004,151.895004,143.270630,107166980
2013-09-02,152.000000,164.800003,145.570007,163.455002,154.174240,124166590
2013-09-09,163.455002,170.770004,160.229996,166.110001,156.678497,87092350
2013-09-16,169.699997,184.449997,162.720001,174.755005,164.832642,136870380
2013-09-23,170.914993,171.399994,159.625000,164.070007,154.754333,117426400
2013-09-30,161.380005,167.800003,159.664993,165.065002,155.692825,67223690
2013-10-07,164.125000,167.949997,157.384995,165.279999,155.895615,105562650
2013-10-14,164.625000,169.350006,160.000000,166.460007,157.008636,70489580
2013-10-21,166.710007,174.490005,166.000000,172.095001,162.323669,96591050
2013-10-28,172.500000,189.000000,164.559998,187.899994,177.231293,125329760
2013-11-04,187.899994,190.789993,173.000000,174.429993,164.526077,93969100
2013-11-11,172.970001,175.294998,165.264999,172.309998,162.526443,121589870
2013-11-18,174.535004,183.470001,173.210007,173.794998,163.927139,112437400
2013-11-25,174.149994,182.699997,174.005005,181.945007,171.614410,94309790
2013-12-02,182.699997,188.264999,179.699997,185.955002,175.396729,85856750
2013-12-09,191.100006,192.399994,174.009995,174.360001,164.460052,90629200
2013-12-16,173.009995,177.889999,171.250000,175.119995,165.176926,87632210
2013-12-23,174.500000,178.139999,174.500000,177.009995,166.959595,53687020
2013-12-30,178.080002,180.600006,171.100006,171.964996,162.201035,60730920
2014-01-06,172.190002,172.399994,160.000000,160.815002,151.684128,80773700
2014-01-13,161.014999,165.800003,161.014999,162.154999,152.948059,57836180
2014-01-20,162.154999,167.270004,161.664993,162.119995,152.915039,57500330
2014-01-27,159.789993,162.800003,151.005005,152.384995,143.732773,85709770
2014-02-03,152.500000,153.789993,146.679993,152.759995,144.086472,79699160
2014-02-10,153.035004,154.000000,145.509995,147.509995,139.134567,92228550
2014-02-17,147.000000,151.500000,146.324997,150.210007,141.681290,60130090
2014-02-24,150.074997,153.940002,148.919998,153.324997,144.619400,64620460
2014-03-03,153.000000,166.445007,151.500000,164.964996,155.598495,132559680
2014-03-10,164.399994,172.210007,163.399994,165.414993,156.022934,133362790
2014-03-17,165.414993,171.949997,165.414993,170.214996,161.986313,77947620
2014-03-24,171.095001,191.595001,171.095001,190.195007,181.000458,135447690
2014-03-31,191.500000,194.000000,186.750000,190.279999,181.081345,108625330
2014-04-07,190.970001,204.000000,189.839996,199.414993,189.774704,98954130
2014-04-14,199.414993,202.199997,194.764999,201.729996,191.977814,57753580
2014-04-21,202.199997,211.154999,202.199997,208.524994,198.444321,83157640
2014-04-28,208.000000,212.490005,204.009995,204.820007,194.918457,70964860
